LOCATION,Country,TRANSACT,Transaction,SECTOR,Sector,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1965,1965,EUR,Euro,6,Millions,NA,NA,10945,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1966,1966,EUR,Euro,6,Millions,NA,NA,11892,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1967,1967,EUR,Euro,6,Millions,NA,NA,12934,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1968,1968,EUR,Euro,6,Millions,NA,NA,13889,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1969,1969,EUR,Euro,6,Millions,NA,NA,17347,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1970,1970,EUR,Euro,6,Millions,NA,NA,19853,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1971,1971,EUR,Euro,6,Millions,NA,NA,22929,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1972,1972,EUR,Euro,6,Millions,NA,NA,24994,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1973,1973,EUR,Euro,6,Millions,NA,NA,30003,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1974,1974,EUR,Euro,6,Millions,NA,NA,35339,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1975,1975,EUR,Euro,6,Millions,NA,NA,35144,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1976,1976,EUR,Euro,6,Millions,NA,NA,39942,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1977,1977,EUR,Euro,6,Millions,NA,NA,45639,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1978,1978,EUR,Euro,6,Millions,NA,NA,48392,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1979,1979,EUR,Euro,6,Millions,NA,NA,54829,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1980,1980,EUR,Euro,6,Millions,NA,NA,61728,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1981,1981,EUR,Euro,6,Millions,NA,NA,69798,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1982,1982,EUR,Euro,6,Millions,NA,NA,79213,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1983,1983,EUR,Euro,6,Millions,NA,NA,92179,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1984,1984,EUR,Euro,6,Millions,NA,NA,106892,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1985,1985,EUR,Euro,6,Millions,NA,NA,119649,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1986,1986,EUR,Euro,6,Millions,NA,NA,145464,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1987,1987,EUR,Euro,6,Millions,NA,NA,153860,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1988,1988,EUR,Euro,6,Millions,NA,NA,177364,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1989,1989,EUR,Euro,6,Millions,NA,NA,196684,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1990,1990,EUR,Euro,6,Millions,NA,NA,202883,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1991,1991,EUR,Euro,6,Millions,NA,NA,207404,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1992,1992,EUR,Euro,6,Millions,NA,NA,212941,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1993,1993,EUR,Euro,6,Millions,NA,NA,209940,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1994,1994,EUR,Euro,6,Millions,NA,NA,213101,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1995,1995,EUR,Euro,6,Millions,NA,NA,216871,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1996,1996,EUR,Euro,6,Millions,NA,NA,213993,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1997,1997,EUR,Euro,6,Millions,NA,NA,225403,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1998,1998,EUR,Euro,6,Millions,NA,NA,244616,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1999,1999,EUR,Euro,6,Millions,NA,NA,249537,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2000,2000,EUR,Euro,6,Millions,NA,NA,270928,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2001,2001,EUR,Euro,6,Millions,NA,NA,280109,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2002,2002,EUR,Euro,6,Millions,NA,NA,284541,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2003,2003,EUR,Euro,6,Millions,NA,NA,291181,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2004,2004,EUR,Euro,6,Millions,NA,NA,306899,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2005,2005,EUR,Euro,6,Millions,NA,NA,314951,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2006,2006,EUR,Euro,6,Millions,NA,NA,331845,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2007,2007,EUR,Euro,6,Millions,NA,NA,359333,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2008,2008,EUR,Euro,6,Millions,NA,NA,363601,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2009,2009,EUR,Euro,6,Millions,NA,NA,329770,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2010,2010,EUR,Euro,6,Millions,NA,NA,355424,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2011,2011,EUR,Euro,6,Millions,NA,NA,359418,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2012,2012,EUR,Euro,6,Millions,NA,NA,351085,NA,NA
