"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,257287,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,264478,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,211633,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,232201,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,269272,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,261352,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,262253,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,279685,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,292385,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,237758,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,230645,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,243049,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,263417,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,275256,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,301377,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,289267,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,254090,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,254615,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,257528,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,258410,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,285018,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,323879,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,330569,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,246160,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,296092,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,338704,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,298646,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,312472,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,333601,,
"DEU","Germany","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,332341,,
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,6561.0638,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,7713.1719,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,8958.3865,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,9976.5841,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,9515.2713,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,11638.7337,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,13323.7108,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,14295.5434,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,16227.5427,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,13820.6154,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,12974.7065,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,16244.9043,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,19476.2278,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,19431.4561,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,11029.635,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,14033.8543,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,11806.0701,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,9631.1962,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,7526.8953,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,9031.4173,"P","Provisional value"
"GRC","Greece","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,6936.6565,"P","Provisional value"
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1995","1995","HUF","Forint","6","Millions",,,873697,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1996","1996","HUF","Forint","6","Millions",,,1148630,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1997","1997","HUF","Forint","6","Millions",,,1534377,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1998","1998","HUF","Forint","6","Millions",,,2120186,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1999","1999","HUF","Forint","6","Millions",,,2246307,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2000","2000","HUF","Forint","6","Millions",,,2579496,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2001","2001","HUF","Forint","6","Millions",,,2530941,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2002","2002","HUF","Forint","6","Millions",,,2530373,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2003","2003","HUF","Forint","6","Millions",,,2797070,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2004","2004","HUF","Forint","6","Millions",,,3531944,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2005","2005","HUF","Forint","6","Millions",,,3549039,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2006","2006","HUF","Forint","6","Millions",,,3844618,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2007","2007","HUF","Forint","6","Millions",,,3815008,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2008","2008","HUF","Forint","6","Millions",,,4423433,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2009","2009","HUF","Forint","6","Millions",,,3087403,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2010","2010","HUF","Forint","6","Millions",,,3519599,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2011","2011","HUF","Forint","6","Millions",,,3947327,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2012","2012","HUF","Forint","6","Millions",,,3671517,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2013","2013","HUF","Forint","6","Millions",,,4137607,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2014","2014","HUF","Forint","6","Millions",,,4691644,,
"HUN","Hungary","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2015","2015","HUF","Forint","6","Millions",,,4179453,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,12023.8456,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,13243.6269,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,13720.2923,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,15152.0263,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,17105.3719,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,18416.5849,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,22823.0572,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,26117.8396,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,25355.7643,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,18975.0548,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,19321.6516,,
"IRL","Ireland","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,17313.7638,,
